时间_Start,时间_End,TIME,PM25,O3,NO2,PM10,SO2,CO,AQI,Major_pollutant,quality
2015/7/12 7:00,2015/7/12 8:00,7,13,10,9,21,3,6,21,,优
2015/7/12 8:00,2015/7/12 9:00,8,18,10,9,19,3,6,19,,优
2015/7/12 9:00,2015/7/12 10:00,9,25,11,10,24,3,6,25,,优
2015/7/12 10:00,2015/7/12 11:00,10,28,13,12,27,3,7,28,,优
2015/7/12 11:00,2015/7/12 12:00,11,25,16,10,21,3,7,25,,优
2015/7/12 12:00,2015/7/12 13:00,12,28,22,10,26,4,6,28,,优
2015/7/12 13:00,2015/7/12 14:00,13,32,23,10,34,4,6,34,,优
2015/7/12 14:00,2015/7/12 15:00,14,38,28,10,40,4,6,40,,优
2015/7/12 15:00,2015/7/12 16:00,15,36,35,10,35,4,6,36,,优
2015/7/12 16:00,2015/7/12 17:00,16,35,36,11,35,4,6,36,,优
2015/7/12 17:00,2015/7/12 18:00,17,35,34,13,45,4,6,45,,优
2015/7/12 18:00,2015/7/12 19:00,18,43,30,18,53,5,7,53,PM10,良
2015/7/12 19:00,2015/7/12 20:00,19,48,22,25,62,4,8,62,PM10,良
2015/7/12 20:00,2015/7/12 21:00,20,57,20,26,76,4,9,76,PM10,良
2015/7/12 21:00,2015/7/12 22:00,21,62,17,28,64,5,9,64,PM10,良
2015/7/12 22:00,2015/7/12 23:00,22,63,14,28,59,5,9,63,PM2.5,良
2015/7/12 23:00,2015/7/13 0:00,23,65,11,28,60,6,9,65,PM2.5,良
2015/7/13 0:00,2015/7/13 1:00,0,74,9,28,62,7,9,74,PM2.5,良
2015/7/13 1:00,2015/7/13 2:00,1,79,9,26,59,8,10,79,PM2.5,良
2015/7/13 2:00,2015/7/13 3:00,2,75,9,26,58,8,8,75,PM2.5,良
2015/7/13 3:00,2015/7/13 4:00,3,73,10,24,58,8,8,73,PM2.5,良
2015/7/13 4:00,2015/7/13 5:00,4,72,13,21,58,7,8,72,PM2.5,良
2015/7/13 5:00,2015/7/13 6:00,5,68,15,21,55,6,8,68,PM2.5,良
2015/7/13 6:00,2015/7/13 7:00,6,67,15,27,54,5,9,67,PM2.5,良
2015/7/13 7:00,2015/7/13 8:00,7,60,18,27,52,5,8,60,PM2.5,良
2015/7/13 8:00,2015/7/13 9:00,8,53,22,25,56,5,8,56,PM10,良
2015/7/13 9:00,2015/7/13 10:00,9,58,29,21,66,6,8,66,PM10,良
2015/7/13 10:00,2015/7/13 11:00,10,73,41,20,78,6,9,78,PM10,良
2015/7/13 11:00,2015/7/13 12:00,11,97,84,16,81,7,9,97,PM2.5,良
2015/7/13 12:00,2015/7/13 13:00,12,120,113,12,82,5,9,120,PM2.5,轻度污染
2015/7/13 13:00,2015/7/13 14:00,13,134,127,13,88,5,9,134,PM2.5,轻度污染
2015/7/13 14:00,2015/7/13 15:00,14,130,127,13,92,5,9,130,PM2.5,轻度污染
2015/7/13 15:00,2015/7/13 16:00,15,132,127,14,100,5,9,132,PM2.5,轻度污染
2015/7/13 16:00,2015/7/13 17:00,16,139,132,17,105,6,10,139,PM2.5,轻度污染
2015/7/13 17:00,2015/7/13 18:00,17,152,130,23,131,6,11,152,PM2.5,中度污染
2015/7/13 18:00,2015/7/13 19:00,18,166,116,25,117,5,11,166,PM2.5,中度污染
2015/7/13 19:00,2015/7/13 20:00,19,166,90,26,110,5,10,166,PM2.5,中度污染
2015/7/13 20:00,2015/7/13 21:00,20,170,79,22,99,5,10,170,PM2.5,中度污染
2015/7/13 21:00,2015/7/13 22:00,21,156,52,21,90,6,9,156,PM2.5,中度污染
2015/7/13 22:00,2015/7/13 23:00,22,127,37,23,79,6,8,127,PM2.5,轻度污染
2015/7/13 23:00,2015/7/14 0:00,23,115,26,25,73,6,9,115,PM2.5,轻度污染
2015/7/14 0:00,2015/7/14 1:00,0,115,22,26,73,6,9,115,PM2.5,轻度污染
2015/7/14 1:00,2015/7/14 2:00,1,114,21,25,73,5,9,114,PM2.5,轻度污染
2015/7/14 2:00,2015/7/14 3:00,2,104,16,26,67,5,9,104,PM2.5,轻度污染
2015/7/14 3:00,2015/7/14 4:00,3,98,13,27,65,5,9,98,PM2.5,良
